@relation sbir

@attribute feature1 numeric
@attribute feature2 numeric
@attribute feature3 numeric
@attribute feature4 numeric
@attribute feature5 numeric
@attribute feature6 numeric
@attribute feature7 numeric
@attribute feature8 numeric
@attribute feature9 numeric
@attribute feature10 numeric
@attribute feature11 numeric
@attribute feature12 numeric
@attribute feature13 numeric
@attribute feature14 numeric
@attribute feature15 numeric
@attribute feature16 numeric
@attribute feature17 numeric
@attribute feature18 numeric
@attribute feature19 numeric
@attribute feature20 numeric
@attribute feature21 numeric
@attribute feature22 numeric
@attribute feature23 numeric
@attribute feature24 numeric
@attribute feature25 numeric
@attribute feature26 numeric
@attribute feature27 numeric
@attribute feature28 numeric
@attribute feature29 numeric
@attribute feature30 numeric
@attribute feature31 numeric
@attribute feature32 numeric
@attribute feature33 numeric
@attribute feature34 numeric
@attribute feature35 numeric
@attribute feature36 numeric
@attribute color {C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59}

@data
0.064279,0.099090,0.164155,0.204506,0.236643,0.273712,0.493698,0.755810,0.877406,0.920548,0.944649,1.000000,0.167020,0.447218,0.674338,0.872288,0.929277,0.956000,0.971038,0.977589,0.982035,0.984859,0.987389,1.000000,0.083900,0.217343,0.318893,0.404722,0.481967,0.549823,0.610158,0.656840,0.694116,0.729917,0.800422,1.000000,C22
0.131640,0.333468,0.476277,0.663909,0.844729,0.906153,0.924880,0.949155,0.966545,0.973307,0.981112,1.000000,0.077758,0.138015,0.217076,0.315879,0.420122,0.504913,0.597839,0.670801,0.742304,0.791694,0.829968,1.000000,0.246157,0.371584,0.473686,0.554659,0.625981,0.680272,0.729820,0.782374,0.842109,0.895922,0.937052,1.000000,C3
0.004855,0.020072,0.066260,0.128091,0.162142,0.188360,0.991798,0.996679,0.998010,0.998593,0.999000,1.000000,0.018258,0.058043,0.130529,0.196675,0.270027,0.507968,0.759855,0.913711,0.993572,0.996530,0.997829,1.000000,0.003747,0.012408,0.037866,0.133125,0.317838,0.528824,0.664435,0.690040,0.697879,0.746753,0.889332,1.000000,C50
0.295621,0.349988,0.366647,0.370014,0.371224,0.392933,0.816891,0.967516,0.978467,0.981950,0.984358,1.000000,0.256379,0.515361,0.722377,0.869150,0.993467,0.999942,0.999997,1.000000,1.000000,1.000000,1.000000,1.000000,0.000023,0.085293,0.345970,0.477023,0.602887,0.672210,0.729254,0.792509,0.826817,0.874169,0.948594,1.000000,C29
0.154627,0.567754,0.657091,0.673400,0.679473,0.685017,0.759546,0.873156,0.991388,0.995691,0.996444,1.000000,0.272163,0.313082,0.421140,0.553153,0.663963,0.755472,0.840306,0.895144,0.930918,0.952028,0.966011,1.000000,0.038505,0.110366,0.204315,0.294370,0.385030,0.491628,0.579065,0.637069,0.679705,0.712814,0.789993,1.000000,C4
0.035253,0.121881,0.413600,0.540569,0.593616,0.764205,0.938587,0.976637,0.992776,0.995358,0.996471,1.000000,0.562978,0.706933,0.775299,0.816181,0.856360,0.877138,0.904501,0.917936,0.934114,0.942418,0.950387,1.000000,0.203375,0.261474,0.288095,0.313619,0.339329,0.423128,0.665152,0.833245,0.976474,0.996516,0.999293,1.000000,C35
0.012243,0.023972,0.043228,0.146846,0.252073,0.275888,0.744378,0.798571,0.911840,0.966873,0.987113,1.000000,0.121656,0.254527,0.304978,0.365339,0.531011,0.595888,0.693893,0.959537,0.987898,0.990942,0.993042,1.000000,0.048986,0.118546,0.183505,0.355137,0.426797,0.495152,0.560565,0.601647,0.637508,0.699832,0.809683,1.000000,C26
0.054762,0.074318,0.096629,0.113370,0.137720,0.255760,0.567061,0.896825,0.942578,0.955910,0.968854,1.000000,0.206501,0.417598,0.738231,0.876585,0.938030,0.959569,0.973025,0.979269,0.984287,0.987985,0.990536,1.000000,0.045726,0.151126,0.261395,0.378965,0.532869,0.649260,0.680757,0.700706,0.717684,0.732491,0.740667,1.000000,C40
0.129792,0.169406,0.209453,0.293692,0.427277,0.439321,0.836902,0.892809,0.908979,0.920886,0.939654,1.000000,0.033816,0.144061,0.275321,0.431455,0.510361,0.543112,0.574176,0.634904,0.873212,0.976479,0.981636,1.000000,0.048821,0.117134,0.214947,0.355741,0.501929,0.548424,0.580115,0.646255,0.764699,0.861961,0.943830,1.000000,C57
0.062904,0.092771,0.128241,0.164315,0.207601,0.274980,0.585711,0.846642,0.906257,0.928571,0.954302,1.000000,0.080532,0.334551,0.495884,0.608995,0.717128,0.822307,0.922275,0.948134,0.960805,0.968862,0.974938,1.000000,0.101704,0.350222,0.450021,0.508684,0.554860,0.607625,0.646544,0.693077,0.785514,0.820551,0.831115,1.000000,C19
0.087976,0.121165,0.129697,0.131860,0.132141,0.142914,0.349177,0.568956,0.603027,0.673616,0.785548,1.000000,0.354095,0.579761,0.862767,0.992037,0.998267,0.999627,0.999986,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.038031,0.094862,0.170834,0.300366,0.451131,0.579714,0.635264,0.653646,0.692707,0.743255,1.000000,C12
0.058694,0.105342,0.161876,0.185560,0.205950,0.248855,0.857707,0.939751,0.961144,0.968167,0.975369,1.000000,0.055723,0.151460,0.238457,0.320334,0.404562,0.504771,0.643287,0.747270,0.949921,0.975408,0.982625,1.000000,0.187723,0.364499,0.477292,0.523468,0.552954,0.566428,0.571467,0.575748,0.586787,0.630847,0.713057,1.000000,C35
0.017641,0.119107,0.238187,0.298828,0.399830,0.695058,0.983573,0.995386,0.997050,0.997735,0.998301,1.000000,0.085417,0.182395,0.366239,0.631527,0.864874,0.945307,0.977025,0.988410,0.993344,0.995598,0.996821,1.000000,0.014038,0.172073,0.390022,0.602148,0.727353,0.784399,0.814473,0.833690,0.848733,0.862265,0.878228,1.000000,C22
0.017917,0.040719,0.073530,0.105662,0.140749,0.169921,0.571861,0.979059,0.991850,0.993882,0.994960,1.000000,0.055093,0.158874,0.359914,0.708349,0.832874,0.897888,0.924624,0.970986,0.998551,0.999076,0.999309,1.000000,0.009600,0.098114,0.165947,0.218944,0.291461,0.424136,0.554844,0.709359,0.829281,0.902279,0.946137,1.000000,C35
0.059395,0.073924,0.082795,0.087104,0.092813,0.247375,0.309431,0.462375,0.627341,0.716952,0.787197,1.000000,0.051954,0.182277,0.329792,0.452520,0.581997,0.750128,0.869908,0.947452,0.962298,0.971280,0.978234,1.000000,0.033913,0.124446,0.261219,0.451475,0.665564,0.866134,0.910958,0.939985,0.964800,0.975568,0.983573,1.000000,C41
0.017688,0.106263,0.253457,0.347779,0.458522,0.638658,0.942093,0.989807,0.995556,0.996975,0.997552,1.000000,0.455807,0.716171,0.856341,0.924401,0.961735,0.975465,0.985257,0.989550,0.992639,0.994456,0.995683,1.000000,0.097919,0.222395,0.333336,0.400000,0.446246,0.471829,0.522561,0.643294,0.782923,0.864410,0.958336,1.000000,C35
0.147030,0.219996,0.262093,0.317098,0.490599,0.510752,0.852838,0.890699,0.903045,0.918572,0.938678,1.000000,0.069208,0.206238,0.345030,0.467563,0.571588,0.609210,0.636403,0.668073,0.845697,0.972852,0.980292,1.000000,0.053726,0.132427,0.233460,0.362095,0.475103,0.542194,0.593440,0.632926,0.712477,0.831131,0.923873,1.000000,C57
0.001013,0.001377,0.002083,0.003052,0.005850,0.014789,0.545564,0.998853,0.999530,0.999805,0.999871,1.000000,0.007243,0.011387,0.030864,0.199144,0.558710,0.832294,0.943867,0.980502,0.988759,0.992291,0.994226,1.000000,0.009739,0.036378,0.055138,0.090075,0.201021,0.382815,0.468112,0.494302,0.534386,0.771379,0.967219,1.000000,C35
0.013802,0.023617,0.058033,0.122249,0.230163,0.453005,0.822092,0.966925,0.985386,0.988633,0.990837,1.000000,0.374154,0.576533,0.710792,0.837361,0.921871,0.950787,0.970925,0.980733,0.986722,0.990260,0.992575,1.000000,0.051385,0.171724,0.262064,0.388374,0.473342,0.513718,0.537223,0.556505,0.568092,0.580960,0.585293,1.000000,C57
0.001186,0.005556,0.046692,0.180256,0.539577,0.952149,0.997388,0.999509,0.999755,0.999813,0.999839,1.000000,0.010705,0.047713,0.180350,0.362082,0.518185,0.683731,0.895568,0.970471,0.983428,0.988822,0.991845,1.000000,0.009290,0.067725,0.223849,0.548193,0.699751,0.762413,0.812912,0.853730,0.888054,0.915821,0.940665,1.000000,C22
0.026885,0.079197,0.118320,0.133918,0.151494,0.395644,0.785415,0.975072,0.986935,0.992089,0.994803,1.000000,0.241811,0.312828,0.399402,0.517996,0.702640,0.875496,0.956984,0.979127,0.988691,0.993113,0.995533,1.000000,0.004729,0.117291,0.322470,0.483961,0.577808,0.624897,0.665916,0.694630,0.708771,0.722159,0.737370,1.000000,C18
0.084215,0.119564,0.144920,0.165774,0.183555,0.356058,0.549424,0.803440,0.903168,0.936038,0.957459,1.000000,0.389752,0.646667,0.812287,0.904163,0.953958,0.976704,0.986347,0.990756,0.993609,0.995265,0.996317,1.000000,0.014600,0.107798,0.314266,0.503432,0.589679,0.635424,0.666776,0.685253,0.697215,0.707805,0.722303,1.000000,C33
0.059673,0.082611,0.095382,0.100736,0.106415,0.200391,0.311717,0.518127,0.680007,0.773843,0.841550,1.000000,0.073609,0.246071,0.425721,0.560342,0.671737,0.773762,0.890699,0.947218,0.961965,0.970539,0.977353,1.000000,0.053190,0.171327,0.294165,0.440938,0.598579,0.776906,0.835792,0.872635,0.905520,0.919346,0.934429,1.000000,C41
0.357882,0.385773,0.385773,0.385773,0.385773,0.385773,0.386348,0.586608,0.677167,0.727830,0.879548,1.000000,0.006928,0.157591,0.462703,0.609329,0.695790,0.790942,0.922810,0.989948,0.999212,0.999952,1.000000,1.000000,0.000026,0.122742,0.336865,0.430405,0.617979,0.707897,0.741234,0.773108,0.811917,0.856200,0.914412,1.000000,C52
0.409667,0.418036,0.420627,0.421519,0.422162,0.429899,0.888579,0.968036,0.978956,0.982649,0.986869,1.000000,0.245042,0.542233,0.720064,0.874984,0.974649,0.998585,0.999682,0.999842,0.999921,0.999971,0.999986,1.000000,0.000073,0.205071,0.296217,0.393505,0.465178,0.493029,0.504668,0.519707,0.545734,0.604308,0.710871,1.000000,C2
0.017101,0.041049,0.084929,0.107756,0.133057,0.290115,0.931972,0.983919,0.993968,0.996036,0.996409,1.000000,0.230082,0.444733,0.617249,0.779916,0.897555,0.984407,0.997630,0.999065,0.999477,0.999679,0.999792,1.000000,0.000742,0.033457,0.198357,0.504501,0.686859,0.711847,0.717750,0.720261,0.722335,0.723899,0.726481,1.000000,C35
0.203849,0.294270,0.451543,0.508923,0.562405,0.569076,0.918434,0.974222,0.987195,0.989499,0.990982,1.000000,0.223157,0.333508,0.502817,0.623743,0.721672,0.795710,0.852561,0.881441,0.930302,0.982149,0.995402,1.000000,0.110677,0.290049,0.354703,0.417299,0.493014,0.568074,0.607119,0.657661,0.715789,0.770520,0.885007,1.000000,C35
0.044065,0.053663,0.061177,0.067523,0.076370,0.121672,0.170382,0.257758,0.392046,0.566318,0.819835,1.000000,0.122346,0.422319,0.756012,0.936502,0.982552,0.993147,0.996858,0.998275,0.998997,0.999328,0.999577,1.000000,0.001642,0.048933,0.183673,0.359339,0.546739,0.683723,0.800306,0.884794,0.925721,0.944176,0.954047,1.000000,C26
0.000000,0.000020,0.000020,0.000020,0.000047,0.000128,0.612454,0.999997,1.000000,1.000000,1.000000,1.000000,0.000013,0.018592,0.206530,0.715275,0.897925,0.950992,0.991428,0.997580,0.998724,0.999228,0.999475,1.000000,0.000574,0.004309,0.088855,0.113462,0.222778,0.390190,0.562641,0.640442,0.706186,0.764781,0.832409,1.000000,C35
0.049768,0.085104,0.190877,0.237053,0.254892,0.343826,0.621089,0.960183,0.984557,0.987914,0.988373,1.000000,0.327341,0.512762,0.811649,0.990509,0.995294,0.997149,0.998204,0.998622,0.998939,0.999170,0.999346,1.000000,0.003330,0.125110,0.233570,0.459041,0.468854,0.481649,0.495840,0.509254,0.556361,0.720096,0.845497,1.000000,C52
0.059519,0.356961,0.518330,0.618329,0.724891,0.840535,0.953409,0.958262,0.960522,0.964459,0.974764,1.000000,0.057472,0.204269,0.457616,0.704065,0.832145,0.893755,0.937169,0.968088,0.986432,0.995513,0.998947,1.000000,0.000012,0.023150,0.104008,0.232114,0.423889,0.614453,0.783566,0.894744,0.939170,0.962308,0.981020,1.000000,C48
0.628805,0.725369,0.727757,0.728190,0.728229,0.729565,0.744467,0.874645,0.920241,0.934242,0.949906,1.000000,0.136605,0.455624,0.738945,0.941762,0.981499,0.996451,0.999850,0.999989,1.000000,1.000000,1.000000,1.000000,0.000000,0.069966,0.182101,0.239588,0.285667,0.325178,0.365520,0.425944,0.553684,0.712934,0.770442,1.000000,C11
0.264917,0.283207,0.289000,0.294383,0.339537,0.661656,0.695111,0.707349,0.751726,0.786060,0.817119,1.000000,0.057193,0.105528,0.163338,0.229271,0.416703,0.648161,0.743945,0.881267,0.935492,0.953388,0.963272,1.000000,0.039637,0.104460,0.144578,0.204682,0.359491,0.667656,0.846568,0.884708,0.908803,0.926096,0.940163,1.000000,C35
0.057032,0.642758,0.857861,0.871696,0.874539,0.880116,0.905319,0.914756,0.993764,0.996472,0.997398,1.000000,0.180348,0.303899,0.498354,0.655909,0.775812,0.910568,0.986818,0.995905,0.998100,0.999041,0.999427,1.000000,0.005104,0.070246,0.142682,0.233548,0.339518,0.543258,0.673576,0.751955,0.822636,0.895411,0.910982,1.000000,C23
0.000918,0.001768,0.004138,0.007569,0.020951,0.053967,0.667837,0.998288,0.999231,0.999501,0.999616,1.000000,0.006660,0.022043,0.054177,0.240034,0.832729,0.984305,0.995609,0.997803,0.998548,0.998963,0.999210,1.000000,0.001695,0.022400,0.064497,0.152381,0.321108,0.483945,0.581926,0.615263,0.746149,0.906585,0.991310,1.000000,C35
0.086217,0.154111,0.262765,0.422395,0.578000,0.673031,0.846487,0.912766,0.937951,0.951845,0.965886,1.000000,0.134379,0.364822,0.601652,0.780593,0.891072,0.935106,0.957845,0.968529,0.975500,0.980187,0.983649,1.000000,0.034236,0.140340,0.318066,0.469382,0.581304,0.666220,0.735221,0.785779,0.823900,0.852996,0.880584,1.000000,C20
0.009589,0.015337,0.028418,0.091797,0.227967,0.276339,0.807686,0.863620,0.946118,0.980368,0.991785,1.000000,0.065972,0.202861,0.258212,0.329821,0.465272,0.553776,0.686130,0.931534,0.968647,0.976841,0.982930,1.000000,0.098027,0.186374,0.246039,0.375406,0.467120,0.498406,0.544364,0.585117,0.615273,0.667102,0.749477,1.000000,C26
0.002474,0.004495,0.005485,0.005815,0.006319,0.011361,0.694720,0.997582,0.998645,0.998963,0.999126,1.000000,0.009429,0.119118,0.309799,0.751902,0.937856,0.994821,0.999354,0.999863,0.999952,0.999976,0.999994,1.000000,0.000000,0.003343,0.127390,0.229518,0.298059,0.422954,0.561248,0.594868,0.597825,0.615832,0.665333,1.000000,C35
0.081144,0.153223,0.221012,0.255703,0.292645,0.348731,0.728940,0.847332,0.886613,0.917682,0.944906,1.000000,0.258036,0.533137,0.681350,0.774326,0.851048,0.900016,0.941481,0.987181,0.998965,0.999349,0.999511,1.000000,0.004356,0.057523,0.183896,0.406958,0.631036,0.798603,0.967600,0.998147,0.999727,0.999863,0.999968,1.000000,C35
0.002587,0.006172,0.010959,0.019311,0.094962,0.387623,0.659173,0.981974,0.998034,0.999039,0.999270,1.000000,0.004700,0.020458,0.068431,0.186376,0.407205,0.686922,0.876173,0.927587,0.953905,0.967411,0.976274,1.000000,0.080614,0.305133,0.477017,0.628380,0.724823,0.804377,0.893177,0.966923,0.979476,0.987874,0.993861,1.000000,C20
0.087137,0.249588,0.319524,0.368311,0.443529,0.638956,0.982704,0.993665,0.995414,0.996348,0.997365,1.000000,0.053405,0.206514,0.379666,0.525019,0.630607,0.729838,0.820622,0.874448,0.909652,0.936185,0.956255,1.000000,0.048784,0.124501,0.222742,0.304204,0.391614,0.537144,0.673767,0.739395,0.779337,0.819071,0.921689,1.000000,C7
0.228153,0.229381,0.229586,0.229599,0.229599,0.229741,0.229888,0.235767,0.287294,0.356985,0.436460,1.000000,0.165021,0.675652,0.932390,0.991690,0.999343,0.999971,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.100788,0.167217,0.235187,0.315263,0.384983,0.450774,0.522694,0.603536,0.699081,0.811791,1.000000,C53
0.045826,0.073803,0.103888,0.131826,0.176246,0.361457,0.621309,0.893250,0.952136,0.967941,0.977702,1.000000,0.300406,0.595681,0.849542,0.912963,0.940778,0.984473,0.993160,0.995882,0.997417,0.998286,0.998834,1.000000,0.004739,0.087926,0.314402,0.439938,0.511232,0.562360,0.634576,0.708797,0.735061,0.743858,0.749685,1.000000,C35
0.209233,0.264434,0.305327,0.326758,0.347705,0.378577,0.438261,0.532383,0.617861,0.676878,0.744656,1.000000,0.138576,0.432749,0.637996,0.735095,0.790853,0.828892,0.866239,0.897830,0.926736,0.950803,0.969474,1.000000,0.046128,0.244415,0.621963,0.773854,0.832456,0.866614,0.892925,0.914706,0.934969,0.952202,0.968516,1.000000,C38
0.004086,0.007886,0.019539,0.045170,0.085889,0.113142,0.655882,0.991591,0.996811,0.998191,0.998721,1.000000,0.036932,0.074459,0.152171,0.515597,0.894053,0.966616,0.983964,0.989627,0.992661,0.994632,0.995706,1.000000,0.015321,0.091330,0.172999,0.363502,0.526798,0.561610,0.627921,0.860638,0.964493,0.971846,0.978145,1.000000,C35
0.000501,0.001102,0.004781,0.008739,0.015523,0.024515,0.421309,0.998530,0.999548,0.999695,0.999766,1.000000,0.002175,0.011681,0.060200,0.431458,0.813552,0.939116,0.974980,0.986525,0.989646,0.991640,0.993601,1.000000,0.020250,0.039204,0.059200,0.147418,0.307663,0.394773,0.446095,0.633004,0.875939,0.995732,0.999078,1.000000,C35
0.076296,0.225390,0.414349,0.525586,0.748311,0.790545,0.815722,0.948234,0.971649,0.980985,0.985041,1.000000,0.301717,0.426404,0.486516,0.544489,0.609321,0.672861,0.751157,0.816240,0.867009,0.901456,0.928064,1.000000,0.156168,0.330879,0.471707,0.567901,0.622751,0.659197,0.712732,0.747016,0.760004,0.771614,0.786074,1.000000,C50
0.030554,0.069824,0.212918,0.504172,0.796619,0.931870,0.970335,0.977665,0.981100,0.984121,0.987431,1.000000,0.016508,0.104082,0.328619,0.471873,0.604541,0.713390,0.822420,0.874401,0.907585,0.928138,0.943657,1.000000,0.291574,0.564064,0.655932,0.707535,0.741402,0.783979,0.912748,0.976822,0.985688,0.989612,0.992971,1.000000,C25
0.288575,0.311102,0.325947,0.333731,0.336519,0.374978,0.689069,0.943793,0.974612,0.978385,0.980756,1.000000,0.169617,0.484793,0.818598,0.979784,0.997892,0.999968,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.021991,0.537176,0.617880,0.682273,0.730438,0.766281,0.800256,0.834745,0.873656,0.917306,0.953877,1.000000,C35
0.075754,0.217180,0.312294,0.361050,0.395657,0.424201,0.736396,0.956225,0.981625,0.988698,0.991439,1.000000,0.087249,0.168815,0.274195,0.430709,0.696263,0.867154,0.915794,0.946446,0.967343,0.980087,0.987764,1.000000,0.011344,0.073285,0.151837,0.227999,0.296847,0.351961,0.400716,0.450014,0.562118,0.880271,0.931371,1.000000,C35
0.022680,0.045503,0.095106,0.183880,0.441851,0.688363,0.865543,0.917414,0.943048,0.967125,0.987859,1.000000,0.048406,0.135419,0.269269,0.443801,0.636715,0.771612,0.858449,0.898371,0.923374,0.938318,0.949305,1.000000,0.106854,0.361087,0.548584,0.687103,0.776825,0.830412,0.868674,0.896988,0.919020,0.934568,0.947184,1.000000,C38
0.027360,0.055831,0.114953,0.257671,0.388169,0.472825,0.966894,0.986090,0.990596,0.992375,0.993916,1.000000,0.035260,0.116866,0.234352,0.379931,0.553807,0.748278,0.892337,0.934284,0.953575,0.963928,0.971954,1.000000,0.151497,0.237174,0.297319,0.406764,0.510062,0.534840,0.547170,0.557594,0.569221,0.582624,0.598841,1.000000,C50
0.000286,0.000598,0.003123,0.021796,0.091395,0.176944,0.968555,0.999267,0.999934,0.999944,0.999960,1.000000,0.000818,0.006335,0.034058,0.086881,0.188660,0.398746,0.662168,0.804671,0.908449,0.927718,0.940785,1.000000,0.098636,0.177928,0.220306,0.265468,0.299941,0.332837,0.445838,0.556390,0.620291,0.642510,0.721936,1.000000,C50
0.146835,0.181450,0.187673,0.190633,0.196927,0.236743,0.271783,0.323231,0.439793,0.558216,0.688562,1.000000,0.053099,0.196667,0.322751,0.475959,0.627994,0.759802,0.861121,0.910604,0.939568,0.955115,0.966338,1.000000,0.060943,0.217834,0.350395,0.478754,0.591078,0.702493,0.801128,0.850321,0.873496,0.888985,0.909976,1.000000,C35
0.007629,0.129765,0.465909,0.539665,0.573204,0.614959,0.737698,0.884437,0.990005,0.996398,0.997611,1.000000,0.360598,0.520131,0.580869,0.662465,0.755902,0.840522,0.902788,0.939646,0.963264,0.978691,0.988655,1.000000,0.001734,0.026018,0.078905,0.187978,0.333984,0.455538,0.570330,0.705754,0.799781,0.821685,0.829627,1.000000,C22
0.265640,0.523722,0.772664,0.840105,0.875900,0.894910,0.906575,0.940561,0.961329,0.969589,0.978932,1.000000,0.059997,0.145673,0.289975,0.538335,0.810829,0.941085,0.984728,0.994997,0.997891,0.998914,0.999341,1.000000,0.000264,0.004880,0.022641,0.065701,0.173650,0.379330,0.638198,0.834167,0.917282,0.939755,0.952420,1.000000,C35
0.183794,0.289120,0.421965,0.531864,0.665527,0.764243,0.847959,0.900077,0.932014,0.943809,0.951585,1.000000,0.110250,0.314510,0.562321,0.778604,0.883786,0.930175,0.958018,0.971442,0.979476,0.984512,0.987966,1.000000,0.055815,0.450024,0.790060,0.884605,0.919010,0.936187,0.947654,0.955643,0.961897,0.966962,0.971941,1.000000,C22
0.122479,0.712951,0.776924,0.817131,0.858060,0.874928,0.937497,0.999165,0.999287,0.999371,0.999440,1.000000,0.122713,0.448501,0.760637,0.935991,0.981992,0.988924,0.992286,0.993850,0.995119,0.996047,0.996800,1.000000,0.004915,0.011398,0.025711,0.065343,0.169560,0.332865,0.505452,0.653582,0.790751,0.885487,0.931752,1.000000,C35
0.078992,0.351773,0.869733,0.928563,0.939768,0.958666,0.989087,0.992568,0.995567,0.996459,0.996767,1.000000,0.129308,0.263694,0.360964,0.488077,0.648086,0.789408,0.896578,0.949178,0.975105,0.987070,0.992276,1.000000,0.010279,0.086519,0.199854,0.337997,0.518638,0.684280,0.813532,0.900563,0.952204,0.973988,0.987477,1.000000,C4
0.040889,0.103240,0.203031,0.436830,0.652664,0.724303,0.939027,0.988221,0.993735,0.995260,0.996514,1.000000,0.024090,0.096051,0.246391,0.447163,0.562484,0.644773,0.725613,0.791204,0.904234,0.925062,0.939701,1.000000,0.188791,0.295422,0.360176,0.435447,0.565898,0.720776,0.792459,0.831622,0.864507,0.931321,0.980066,1.000000,C35
